,,,,,,,,,30.00%,30.00%,15.00%,30.00%,30.00,30.00%,,,
Model_ID,Category_Title,Brand_Title,Device_Title,Model_Title,Model_Image,Connectivity_Title,Case_Size,Model,Offer_New,Offer_Mint,Offer_Good,Offer_Fair,Offer_Broken,Offer_Damaged,Meta_Title,Meta_Description,Meta_Keywords
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,40mm,series 4,$120.75,$115.50,$140.25,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,40mm,series 4,$120.75,$115.50,$140.25,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,40mm,series 4,$120.75,$115.50,$140.25,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,44mm,series 4,$133.00,$126.00,$153.00,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,44mm,series 4,$133.00,$126.00,$153.00,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,44mm,series 4,$133.00,$126.00,$153.00,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Cellular,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,40mm,series 4,$113.75,$112.00,$136.00,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,40mm,series 4,$113.75,$112.00,$136.00,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,40mm,series 4,$113.75,$112.00,$136.00,$73.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,44mm,series 4,$127.75,$122.50,$148.75,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,44mm,series 4,$127.75,$122.50,$148.75,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,44mm,series 4,$127.75,$122.50,$148.75,$87.50,,$0.00,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
165,watch,Sell Apple,Sell Apple Watch,Sell My Apple Watch (Series 4),20191114104111.png,Wi-Fi Only,66mm,series 4,,,,,,,Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4),Sell My Apple Watch (Series 4)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,40mm,series 3,$77.00,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,40mm,series 3,$77.00,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,40mm,series 3,$77.00,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,44mm,series 3,$94.50,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,44mm,series 3,$94.50,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,44mm,series 3,$94.50,$73.50,$89.25,$38.50,,$0.00,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
172,watch,Sell Apple,Sell Apple Watch,Apple Watch (Series 3),20191114104800.png,Wi-Fi Cellular,66mm,series 3,,,,,,,Apple Watch (Series 3),Apple Watch (Series 3),Apple Watch (Series 3)
